id,ex,ey,ez,ed,emag
3860,181.1040877,14.78719323,-18.44888388,182.6409401,8.744990669
3867,49.99708773,13.19619323,-7.999883883,52.32443444,7.606522714
3927,135.1930877,14.25819323,132.9181161,190.1254655,8.981201452
3938,92.28208773,13.73019323,36.11111612,100.0425641,7.716924071
3954,182.2450877,14.85819323,179.7571161,256.4111127,8.257684216
3960,115.6440877,14.03119323,53.85311612,128.3377868,8.486772728
3979,154.1530877,14.51919323,129.9731161,202.1558615,8.890431691
3980,357.9050877,17.07919323,-223.3048839,422.1999785,8.851591034
4035,205.4280877,15.20219323,-124.7138839,240.8014924,8.537295871
4041,117.2780877,14.08219323,316.6221161,337.9378973,8.449184488
4063,145.8060877,14.45619323,108.3991161,182.2601578,8.42745871
4074,384.3700877,17.53319323,-15.47488388,385.0808347,8.134759522
4083,61.20608773,13.37319323,-29.28188388,69.1553049,6.653127502
4111,285.0640877,16.28019323,6.829116117,285.6102513,8.615868957
4112,259.6570877,15.95219323,201.9401161,329.3267165,8.90513482
4155,393.0920877,17.74119323,52.48311612,396.9768467,8.793825889
4158,110.6910877,14.03419323,-81.34488388,138.0813732,7.960675486
4165,156.9250877,14.64419323,-276.2568839,318.0531425,7.905498455
4189,260.4950877,16.03019323,202.8971161,330.5781262,7.899370569
4212,312.9500877,16.75119323,-51.55488388,317.6102422,8.582472495
4220,139.4770877,14.44319323,9.634116117,140.5534775,8.209207975
4260,72.04108773,13.55219323,30.70011612,79.47375285,8.838118607
4261,159.1590877,14.72919323,188.1611161,246.8869579,8.118490742
4265,597.5750877,20.66519323,-288.1748839,663.752815,8.68603188
4312,147.7910877,14.59619323,-72.59888388,165.3053309,6.613434296
4324,134.2300877,14.41519323,107.7991161,172.7604228,6.727221291
4373,90.66508773,13.83319323,-47.76688388,103.4078844,8.219768266
4383,245.6720877,15.98919323,217.8281161,328.7240745,8.226157557
4407,189.1930877,15.22619323,-119.8478839,224.4757819,8.985847465
4409,97.68908773,13.94519323,361.7161161,374.9348943,8.363779305
4418,143.0810877,14.58619323,33.38011612,147.6454769,6.667100735
4421,365.8990877,17.72119323,399.0211161,541.6770571,8.641702207
4522,258.6900877,16.31319323,405.4711161,481.2416314,8.578815952
4542,259.3910877,16.33819323,189.1661161,321.4568283,8.422613277
4556,262.5040877,16.39819323,-63.59888388,270.5958515,8.168605671
4558,93.90708773,13.94019323,-15.87188388,96.25376258,8.312088576
4566,376.0700877,18.06319323,591.7571161,701.3782676,8.547761525
4594,405.4650877,18.52719323,655.3001161,770.8199767,8.167764807
4595,287.6780877,16.79819323,112.7971161,309.4576722,8.794006272
4628,65.12908773,13.53519323,181.8561161,193.6405084,7.289981071
4660,405.7700877,18.62719323,-207.5748839,456.1618889,8.873594991
4665,551.1390877,20.81319323,1088.155116,1219.946327,6.230703618
4674,61.66608773,13.49119323,10.94011612,64.06562894,7.69912547
4677,60.54008773,13.47619323,-48.67588388,78.84194111,7.342786541
4699,718.6360877,23.39319323,1027.585116,1254.159575,7.93376399
4703,402.8790877,18.64119323,745.9241161,847.9751414,8.677915605
4715,130.3320877,14.53719323,155.6431161,203.5253367,8.123092409
4769,439.8420877,19.29219323,609.6771161,752.0235613,8.440157237
4771,351.3860877,17.94119323,111.4921161,369.086116,7.944638543
4778,184.4620877,15.38919323,29.23911612,187.3980122,7.5198249
4792,259.5650877,16.54519323,458.1011161,526.7868741,8.597174726
4805,297.4220877,17.13719323,-217.3798839,368.7920763,8.620907907
4857,110.8480877,14.28419323,84.86811612,140.3350771,7.901831188
4918,190.1430877,15.55719323,-242.1208839,308.2514274,8.769525482
4930,62.73208773,13.55219323,-43.05988388,77.2860296,8.162504985
4931,606.9670877,22.14519323,-334.1328839,693.2129826,8.245333438
4954,100.6310877,14.15719323,251.3551161,271.1207044,8.061813421
4975,287.9530877,17.14919323,264.1531161,391.1367335,8.786643023
4991,47.58908773,13.32119323,-72.11888388,87.42601942,8.640203525
4998,155.0490877,15.04219323,0.506116117,155.7778654,7.998528742
5029,42.66408773,13.24719323,-28.74188388,53.12069652,8.841318805
5033,95.11508773,14.09419323,89.52511612,131.3783567,6.781619127
5048,335.8650877,17.99319323,68.49811612,343.2507889,8.21505772
5075,303.7280877,17.50519323,259.3281161,399.7602467,8.943998022
5080,55.56408773,13.46419323,-106.9508839,121.2730139,8.677820855
5087,98.07708773,14.15819323,-37.94788388,106.1113164,4.786808511
5088,104.5500877,14.26419323,78.11111612,131.2841746,7.455061891
5115,122.5940877,14.56919323,289.0291161,314.2919052,7.755665978
5233,179.3430877,15.56719323,220.4541161,284.6160535,8.958296962
5255,122.0070877,14.60919323,257.0861161,284.9428523,6.269788837
5277,143.1970877,14.97619323,202.8501161,248.7526119,8.119838247
5279,178.0950877,15.56819323,60.47811612,188.72687,8.317168686
5282,639.9390877,23.39419323,232.4001161,681.2335416,8.749480115
5294,48.49808773,13.37619323,-31.89388388,59.56682707,8.179022337
5304,47.02908773,13.35319323,-72.85388388,87.73671557,8.937906863
5352,125.9580877,14.71419323,64.63211612,142.3350195,8.991558826
5355,82.63408773,13.97119323,9.741116117,84.37106162,7.264967569
5365,236.5990877,16.62319323,-241.3028839,338.3526868,8.620848147
5372,104.1330877,14.34619323,63.35411612,122.7324621,8.465797232
5386,1478.480088,38.08919323,2656.350116,3040.320723,8.586596998
5401,75.55408773,13.85819323,-85.80288388,115.1633821,8.265572053
5405,180.2990877,15.67119323,56.69011612,189.6499844,8.339764057
5455,190.2300877,15.87319323,29.79811612,193.2029303,7.328068545
5470,36.66908773,13.19119323,-183.5098839,187.6019911,8.044187217
5537,1375.800088,36.94219323,2588.931116,2932.022328,8.185836366
5622,142.5910877,15.12119323,198.2361161,244.6598179,7.620813241
5641,1029.408088,31.20719323,1208.276116,1587.635371,8.005753831
5665,137.7700877,15.05119323,31.41411612,142.1055318,8.612054922
5670,136.4080877,15.02719323,143.6631161,198.6758009,7.360724862
5675,60.37208773,13.64419323,33.62511612,70.43863584,8.621054683
5679,1111.488088,32.81519323,210.3831161,1131.699457,8.770655538
5711,231.6760877,16.78819323,-139.8948839,271.1572083,7.18510577
5755,344.6370877,18.90119323,632.8271161,720.8343334,5.88517732
5784,117.3540877,14.71519323,-85.03888388,145.6713101,8.599870131
5800,1043.089088,31.91119323,1796.124116,2077.285491,8.785480938
5804,32.41508773,13.14419323,87.31511612,94.06081666,8.759043725
5810,224.1160877,16.71219323,44.82011612,229.1640482,8.932732427
5814,147.6700877,15.29119323,293.7221161,329.1093388,7.55670103
5828,151.4730877,15.36719323,-252.6918839,295.0142965,8.643215312
5851,62.96308773,13.72019323,-63.38688388,90.39076926,8.445620412
5866,100.3830877,14.42619323,76.03211612,126.7507871,8.638753325
5901,107.8320877,14.57719323,-39.44688388,115.7424311,5.992463001
5912,119.5780877,14.80319323,-72.56088388,140.6525345,6.570737812
5916,107.6900877,14.57819323,32.16111612,113.3314436,8.299752103
5938,109.8850877,14.62519323,-150.4218839,186.8565544,8.951541682
5942,243.6100877,17.16819323,319.1031161,401.830089,7.773212268
5945,63.68708773,13.75019323,3.399116117,65.24313717,8.857674178
5969,211.2720877,16.57719323,-124.4888839,245.7807572,7.874739389
6026,351.0570877,19.32719323,-225.8338839,417.8702698,8.660207367
6057,314.8620877,18.65819323,199.0591161,372.9755946,8.992402075
6116,604.5730877,24.41119323,-120.4228839,616.932894,5.023189634
6118,552.1480877,23.38219323,11.98911612,552.7729883,8.698734064
