HIP,new_RA,new_DE,new_Distance,new_Vmag,new_BTmag,new_VTmag,new_Hpmag
100276,304.0771708,18.63892147,148.0450323,5.844072714,7.822072714,6.020072714,5.968472714
34819,109.3736895,25.72150449,106.7803073,5.844190213,6.309190213,5.889190213,5.937690213
111810,338.4006414,20.82011172,117.2083359,5.844623074,7.013623074,5.949623074,6.006523074
23446,76.25680066,-31.23738975,97.59299089,5.845269112,7.371269112,5.972269112,6.013769112
37031,117.2331754,9.468324445,42.74149247,5.845321482,6.578321482,5.929321482,5.978721482
71184,219.1510991,-52.66147769,86.97826225,5.845384152,6.411384152,5.899384152,5.954084152
11033,35.19219745,-17.01851159,151.423283,5.845484692,7.455484692,5.976484692,6.003184692
118092,354.8181583,-63.05525746,59.90994719,5.845845582,5.974845582,5.862845582,5.888345582
24732,81.7624739,74.79660344,111.8427442,5.845858488,5.814858488,5.842858488,5.848458488
26487,84.96091655,8.508364059,168.7786591,5.846075741,5.756075741,5.828075741,5.828375741
35626,110.8982469,-25.45105219,219.3138878,5.846213378,7.942213378,6.051213378,5.883113378
56287,176.6188662,-65.52655669,89.59200059,5.846432782,7.303432782,5.970432782,6.016532782
17585,56.85085173,70.64118205,56.83341053,5.846607323,6.250607323,5.884607323,5.928407323
95793,290.1404034,4.340426743,60.55572993,5.84662473,5.95662473,5.85862473,5.88092473
43370,133.0965838,-29.06466819,286.4819247,5.847133502,7.042133502,5.958133502,6.008733502
66563,206.3127191,-25.67578431,49.81777107,5.847200152,6.340200152,5.898200152,5.946100152
4346,13.28113693,-6.472537451,150.6153402,5.847234778,7.851234778,6.015234778,5.963334778
58720,184.0760335,-67.68897452,92.80999946,5.848348787,5.749348787,5.829348787,5.827348787
50786,160.458576,43.34285106,41.18833712,5.849308141,6.490308141,5.912308141,5.967208141
74539,228.5288103,-25.49257646,282.9139151,5.849413309,7.333413309,5.990413309,6.016013309
28271,90.42549979,3.262094842,106.2230301,5.849453286,6.133453286,5.885453286,5.917253286
108849,320.5979914,-75.5928301,59.21267347,5.849648423,6.326648423,5.893648423,5.939148423
81734,249.630738,3.889108105,53.390836,5.849664737,6.229664737,5.875664737,5.926664737
44406,136.4230835,8.029800764,203.6504687,5.84983453,7.26283453,5.96783453,6.01713453
85207,260.4003506,-19.4549298,93.79825599,5.850102287,7.050102287,5.965102287,6.018202287
18339,59.09540077,-9.64065089,45.94692759,5.850497404,6.239497404,5.884497404,5.946197404
71182,218.9879045,-50.71516287,104.1473701,5.850531001,7.254531001,5.984531001,6.027031001
13479,43.06660495,-21.48228039,89.84822471,5.850546112,7.187546112,5.966546112,6.009446112
95732,291.6828725,3.383436648,315.9975451,5.850554143,5.848554143,5.856554143,5.862054143
86254,263.2850544,25.36388597,76.7271613,5.850842937,5.988842937,5.862842937,5.890842937
85049,260.2109851,-57.21004359,240.0453872,5.851707307,7.267707307,5.977707307,6.007607307
26865,85.92366873,-21.99459315,231.707035,5.851744095,5.946744095,5.857744095,5.880544095
5661,16.61713267,-37.25014889,70.18494032,5.852105213,6.189105213,5.876105213,5.925405213
22844,77.4244445,-60.0840626,27.4249856,5.852116263,6.366116263,5.906116263,5.953416263
95188,289.2808368,-16.80291204,110.6355123,5.852292173,7.230292173,5.979292173,6.024792173
106062,321.3732071,22.90257274,185.922521,5.852646324,7.712646324,6.105646324,5.778946324
98959,284.2401718,-59.21857191,16.02783532,5.852694089,6.645694089,5.927694089,5.987194089
3299,8.807994892,67.15971338,155.9428276,5.852702052,7.180702052,5.961702052,6.019402052
103810,314.3340085,56.94075879,226.0943832,5.852986483,5.557986483,5.637986483,5.823186483
74100,227.3378178,-41.33219631,136.443224,5.853240163,5.688240163,5.812240163,5.801340163
108226,327.907414,65.51484757,371.2618568,5.853248116,5.828248116,5.942248116,5.896448116
100738,305.3844662,-27.74481286,165.3387404,5.853459684,7.259459684,5.968459684,6.016159684
95785,291.3004996,25.43499506,150.7253717,5.8542313,7.1612313,5.9662313,6.0232313
28139,90.16550046,13.34477541,92.63866818,5.854584098,7.296584098,5.974584098,6.027784098
73566,225.7710327,-26.07448512,100.7374368,5.854623047,6.066623047,5.874623047,5.910323047
64927,200.2666011,34.43084543,157.8023629,5.855088913,7.628088913,5.996088913,6.002988913
102772,311.7403751,-25.25596314,278.7105549,5.855182213,5.761182213,5.842182213,5.833582213
85998,262.9501865,10.73703976,107.5244105,5.855277225,5.900277225,5.852277225,5.878477225
94157,286.8491726,-41.21289825,250.0935446,5.855376888,5.747376888,5.840376888,5.834776888
19284,62.20982219,19.11919124,104.0508406,5.855683648,7.819683648,6.027683648,5.994483648
116853,354.147326,-10.55399977,114.4698802,5.855948397,7.108948397,5.966948397,6.028348397
171,348.0290929,40.24482487,12.7261133,5.855962226,,,5.929462226
77541,237.2707754,-45.37374244,59.34366378,5.856001735,5.939001735,5.859001735,5.873601735
114921,346.9729487,-43.76216046,85.77965004,5.856153485,7.205153485,5.971153485,6.023553485
85157,259.3942643,24.77274658,45.98117172,5.856193732,6.132193732,5.892193732,5.928093732
33377,104.7980743,46.9475503,253.890492,5.856217664,5.747217664,5.839217664,5.834717664
59920,185.9638393,53.26886064,120.1906908,5.85664351,7.59464351,6.00764351,6.01414351
18199,58.54634909,-46.97234113,106.7111912,5.856690828,7.453690828,5.985690828,6.020190828
72959,223.7875965,-32.47132561,246.466136,5.856758329,7.722758329,6.010758329,5.994658329
17891,57.70695343,66.07407385,72.08207302,5.856771409,6.091771409,5.886771409,5.920671409
48734,149.8398398,9.625554126,207.2732159,5.856942737,7.306942737,5.982942737,6.023442737
33937,105.8481239,16.96044354,587.4278985,5.857017449,8.007017449,6.050017449,5.940317449
88136,262.2950624,78.22265579,56.02719852,5.857399029,6.391399029,5.848399029,5.975399029
31159,98.74800139,5.84948957,157.107597,5.857688678,7.095688678,5.937688678,6.001688678
